mrank,name,year
56,Audrina Patridge,2009
57,Miranda Kerr,2009
58,Ana Ivanovic,2009
59,Carrie Underwood,2009
60,Dania Ramirez,2009
61,Heidi Klum,2009
62,Milla Jovovich,2009
63,Diora Baird,2009
64,Amanda Righetti,2009
65,Emma Stone,2009
66,Emmy Rossum,2009
67,Ashley Greene,2009
68,Jennifer Morrison,2009
69,Maria Menounos,2009
70,Gabrielle Union,2009
71,Camilla Belle,2009
72,Ashley Tisdale,2009
73,Amanda Bynes,2009
74,Tricia Helfer,2009
75,Cameron Richardson,2009
76,Stacy Keibler,2009
77,Danica Patrick,2009
78,Jaime King,2009
79,Jamie Gunns,2009
80,Heidi Montag,2009
81,Emma Watson,2009
82,Whitney Port,2009
83,Minka Kelly,2009
84,Michelle Trachtenberg,2009
85,Ali Campoverdi,2009
86,Summer Glau,2009
87,Diane Kruger,2009
88,Jamie Chung,2009
89,Roselyn Sanchez,2009
90,Chelsea Handler,2009
91,Joanna Krupa,2009
92,Michelle Obama,2009
93,Yvonne Strahovski,2009
94,Padma Lakshmi,2009
95,Olivia Munn,2009
96,Marisa Tomei,2009
97,Rebecca Mader,2009
98,Melissa Rycroft,2009
99,Deanna Russo,2009
1,Katy Perry,2010
2,Brooklyn Decker,2010
3,Zoe Saldana,2010
4,Blake Lively,2010
5,Megan Fox,2010
6,Rihanna,2010
7,Elisabetta Canalis,2010
8,Olivia Munn,2010
9,Kim Kardashian,2010
10,Marisa Miller,2010
11,Eva Mendes,2010
12,Audrina Patridge,2010
13,Amber Heard,2010
14,Scarlett Johansson,2010
15,Amanda Bynes,2010
16,Selita Ebanks,2010
17,Leighton Meester,2010
18,Christina Aguilera,2010
19,Bar Refaeli,2010
20,Olivia Wilde,2010
21,Milla Jovovich,2010
22,Mila Kunis,2010
23,Arianny Celeste,2010
24,Nicole Scherzinger,2010
25,Danica Patrick,2010
26,Eliza Dushku,2010
27,Hilary Duff,2010
28,Kaley Cuoco,2010
